Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,CU18,NZDep2018
4,3.0,380.0,2525000,-36.6374487,174.6341666,7001771,57,18,27,30,39,54,2,219,3.0
3,2.0,117.0,1220000,-36.883432299999996,174.81580459999998,7006097,63,30,42,39,24,30,59,219,1.0
5,3.0,555.0,1345000,-36.7233994,174.72007580000002,7001859,48,42,30,21,21,30,1,189,4.0
4,3.0,763.0,4700000,-36.8470899,174.7318972,7004701,45,24,15,30,33,39,5,189,1.0
4,2.0,230.0,1100000,-36.8118318,174.7101814,7004547,60,24,36,36,24,66,2,249,2.0
2,1.0,104.0,1020000,-36.8865576,174.8404341,7006346,27,42,24,21,18,27,5,162,2.0
3,1.0,600.0,630000,-36.97792020000001,174.8961056,7008964,63,36,24,27,24,30,3,195,9.0
3,2.0,166.0,830000,-36.9209207,174.7357439,7007672,81,39,60,30,21,27,26,258,7.0
4,2.0,519.0,470000,-37.0493856,174.97289080000002,7010211,123,99,93,39,39,18,19,414,5.0
5,3.0,528.0,470000,-37.0502164,174.97293630000001,7010211,123,99,93,39,39,18,19,414,5.0
5,3.0,603.0,480000,-37.049918,174.9724182,7010211,123,99,93,39,39,18,19,414,5.0
3,1.0,439.0,780000,-37.01495739999999,174.91502240000003,7009850,45,24,33,27,36,36,37,204,4.0
3,1.0,600.0,530000,-37.042509499999994,174.8673894,7009515,78,33,39,24,30,24,8,225,10.0
3,2.0,368.0,880000,-36.8152696,174.6288851,7003789,45,30,15,27,24,36,7,174,4.0
3,1.0,1012.0,2112000,-37.2271956,174.93889099999998,7010971,39,6,9,24,18,36,1,129,3.0
4,4.0,2718.0,9000000,-36.871836,174.81368899999998,7005974,27,12,6,18,18,36,59,114,1.0
4,2.0,191.0,1825000,-36.8534844,174.84930269999998,7006399,48,24,21,30,27,36,29,186,3.0
2,2.0,173.0,590000,-36.94338270000001,174.90154819999998,7008935,24,24,45,15,15,6,4,132,6.0
3,1.0,1070.0,1875000,-36.886768200000006,174.8134448,7006010,48,15,27,27,12,30,59,153,3.0
3,2.0,586.0,830000,-36.8324006,174.63285390000001,7003938,84,36,36,42,27,30,15,255,9.0
4,2.0,723.0,1460000,-36.9420311,174.76767230000002,7007837,27,9,9,21,15,30,13,105,1.0
2,1.0,90.0,455000,-36.9763865,174.8391374,7008426,54,45,33,18,24,18,29,198,8.0
5,2.0,260.0,890000,-36.8843686,174.6504321,7004156,60,27,24,30,18,18,10,186,5.0
6,3.0,210.0,1000000,-36.8848921,174.64905149999998,7004156,60,27,24,30,18,18,10,186,5.0
3,2.0,138.0,1220000,-36.861919,174.8521385,7006422,45,12,24,33,30,48,29,189,2.0
1,1.0,59.0,325000,-36.657444399999996,174.4331618,7001725,45,18,21,21,24,24,1,153,10.0
4,2.0,846.0,610000,-37.0481046,174.860194,7009434,108,42,39,36,27,33,8,276,8.0
4,2.0,1047.0,1470000,-36.9188242,174.9314074,7009263,33,27,15,30,21,42,2,168,2.0
5,3.0,375.0,1400000,-36.90441129999999,174.80423190000002,7006032,72,81,60,36,33,27,9,306,8.0
3,2.0,474.0,1250000,-36.905958700000006,174.8045209,7006032,72,81,60,36,33,27,1,306,8.0
7,2.0,2931.0,1600000,-37.0513811,174.861198,7009435,72,42,24,36,33,39,8,246,9.0
3,2.0,261.0,1240000,-36.889430499999996,174.8342189,7006345,66,48,54,33,39,39,5,273,1.0
3,1.0,462.0,860000,-36.921234000000005,174.7544716,7007731,48,48,33,24,33,36,14,222,6.0
5,3.0,701.0,2450000,-36.868096200000004,174.8061183,7005969,45,24,15,27,36,33,59,174,1.0
3,2.0,400.0,880000,-36.938385600000004,174.90999309999998,7009036,42,12,24,21,18,18,4,135,5.0
4,2.0,550.0,780000,-36.791673200000005,174.6900185,7002447,42,27,36,18,12,12,6,147,3.0
5,2.0,650.0,950000,-37.05305070000001,174.92289350000001,7009985,27,27,18,27,36,45,12,174,2.0
4,1.0,140.0,775000,-36.8690454,174.61978919999999,7003702,42,18,15,27,24,24,4,153,8.0
3,2.0,137.0,870000,-36.866926299999996,174.8451884,7006419,54,27,21,39,27,45,29,216,3.0
4,1.0,160.0,830000,-36.885174,174.6509948,7004159,66,51,33,24,24,27,10,228,7.0
4,2.0,922.0,860000,-36.8993074,174.6348866,7004028,102,39,45,36,15,36,6,279,8.0
3,2.0,114.0,725000,-36.9006722,174.6350647,7004028,102,39,45,36,15,36,6,279,8.0
5,3.0,686.0,1735000,-36.8360926,174.66037790000001,7004203,39,27,24,15,27,15,10,147,1.0
3,1.0,1012.0,850000,-36.9085972,174.6380186,7007167,63,36,42,36,27,30,6,231,9.0
5,3.0,470.0,1400000,-36.886992299999996,175.0062139,7007066,60,9,18,48,21,30,6,180,1.0
5,3.0,490.0,1350000,-36.88756729999999,175.00612980000002,7007066,60,9,18,48,21,30,6,180,1.0
5,2.0,569.0,980000,-36.6122979,174.6567144,7001403,36,12,9,27,15,27,2,129,4.0
4,2.0,550.0,1025000,-37.0779534,174.9188179,7009928,201,99,168,114,81,120,14,789,1.0
3,2.0,220.0,810000,-37.077566100000006,174.9201295,7009928,201,99,168,114,81,120,14,789,1.0
5,3.0,404.0,1250000,-36.964403499999996,174.927909,7009304,69,42,60,30,24,30,25,255,1.0
3,1.0,154.0,820000,-36.9337122,174.9080707,7009025,30,18,36,21,12,12,4,123,5.0
3,1.0,952.0,670000,-36.858717799999994,174.599451,7003540,57,27,30,18,12,15,12,159,9.0
4,2.0,1074.0,3200000,-36.8700679,174.7703548,7005559,33,27,24,9,39,54,23,183,1.0
4,2.0,161.0,860000,-36.795950700000006,174.65593,7002301,51,36,57,18,6,12,7,174,1.0
3,1.0,473.0,2275000,-36.8474028,174.7324135,7004901,57,21,15,30,15,18,5,153,4.0
4,2.0,170.0,920000,-36.7875914,174.7224742,7002794,39,36,36,18,30,48,6,198,5.0
4,2.0,689.0,1075000,-36.895269299999995,174.7006602,7004406,12,9,12,21,15,48,23,117,8.0
3,1.0,348.0,1025000,-36.895269299999995,174.7006602,7004406,12,9,12,21,15,48,23,117,8.0
4,2.0,15230.0,1325000,-36.7338896,174.456874,7001370,36,12,9,24,21,18,5,123,2.0
4,2.0,260.0,1275000,-36.8465434,174.5210115,7003415,24,12,9,21,12,27,3,111,3.0
2,1.0,106.0,740000,-36.91975720000001,174.7118763,7007570,0,3,0,3,0,231,19,243,7.0
5,3.0,310.0,1525000,-36.752773299999994,174.7608761,7003148,57,21,27,27,27,27,1,177,2.0
3,1.0,345.0,990000,-36.7663399,174.7477823,7003063,57,48,42,33,24,15,1,219,6.0
